model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,FPR,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1,pct_class_1,pct_class_neg1,pct_class_0,bl_accuracy_diff,bl_pct_profit_mean_diff,bl_precision_neg1_diff,bl_precision_0_diff,bl_precision_1_diff,bl_recall_neg1_diff,bl_recall_0_diff,bl_recall_1_diff,ta_feat_accuracy_diff,ta_feat_pct_profit_mean_diff,ta_feat_precision_neg1_diff,ta_feat_precision_0_diff,ta_feat_precision_1_diff,ta_feat_recall_neg1_diff,ta_feat_recall_0_diff,ta_feat_recall_1_diff,hyper_accuracy_diff,hyper_pct_profit_mean_diff,hyper_precision_neg1_diff,hyper_precision_0_diff,hyper_precision_1_diff,hyper_recall_neg1_diff,hyper_recall_0_diff,hyper_recall_1_diff
cbpro_bitfinex_ltc_usd_rf,cbpro_bitfinex_ltc_usd,rf,{},0.9968465139196846,3.09,3.8,0.002965654019387964,242,6660,6902,1.0,0.997034345980612,0.9952181709503886,0.6111111111111112,0.9994054586329264,0.9990999099909992,0.7586206896551725,0.9982184942564996,0.9971552627638868,0.24,0.12,0.64,,,,,,,,,0.003153486080315404,0.003153486080315404,0.003153486080315404,0.003153486080315404,0.003153486080315404,0.003153486080315404,0.003153486080315404,0.003153486080315404,,,,,,,,
cbpro_bitfinex_ltc_usd_rf_hyper_50_17_100,cbpro_bitfinex_ltc_usd,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,3.05,3.71,0.0,396,6666,7062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,0.12,0.64,,,,,,,,,,,,,,,,,-0.003163462013741344,-0.003163462013741344,-0.003163462013741344,-0.003163462013741344,-0.003163462013741344,-0.003163462013741344,-0.003163462013741344,-0.003163462013741344
cbpro_bitfinex_ltc_usd_rf_bl,cbpro_bitfinex_ltc_usd,rf_bl,{},1.0,3.05,3.71,0.0,396,6666,7062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,0.12,0.64,-0.11260347568663993,-0.11260347568663993,-0.11260347568663993,-0.11260347568663993,-0.11260347568663993,-0.11260347568663993,-0.11260347568663993,-0.11260347568663993,,,,,,,,,,,,,,,,
cbpro_bitfinex_ltc_usd_lr_bl,cbpro_bitfinex_ltc_usd,lr_bl,{},0.8987928061098793,2.48,2.4,17.479322502917544,29,1045,1074,0.14215686274509806,0.899667963509525,0.9961868446139179,0.07323232323232322,0.9967671813165376,0.15676567656765678,0.09666666666666666,0.945731787933542,0.270900842514582,0.24,0.12,0.64,,,,,,,,,,,,,,,,,,,,,,,,
cbpro_bitfinex_eth_usd_rf,cbpro_bitfinex_eth_usd,rf,{},0.9834936214963954,2.5,1.46,0.0186552944378913,38,10413,10451,1.0,0.9813447055621088,0.9947458922430265,0.08463251670378619,0.9989839651222936,0.9440616500453308,0.15605749486652976,0.9900857767972392,0.9687412782584428,0.21,0.12,0.67,,,,,,,,,0.01650637850360459,0.01650637850360459,0.01650637850360459,0.01650637850360459,0.01650637850360459,0.01650637850360459,0.01650637850360459,0.01650637850360459,,,,,,,,
cbpro_bitfinex_eth_usd_rf_hyper_50_17_100,cbpro_bitfinex_eth_usd,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,2.33,1.4,0.0,449,11030,11479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21,0.12,0.67,,,,,,,,,,,,,,,,,-0.016783411852219203,-0.016783411852219203,-0.016783411852219203,-0.016783411852219203,-0.016783411852219203,-0.016783411852219203,-0.016783411852219203,-0.016783411852219203
cbpro_bitfinex_eth_usd_rf_bl,cbpro_bitfinex_eth_usd,rf_bl,{},1.0,2.33,1.4,0.0,449,11030,11479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21,0.12,0.67,-0.22289942593006787,-0.22289942593006787,-0.22289942593006787,-0.22289942593006787,-0.22289942593006787,-0.22289942593006787,-0.22289942593006787,-0.22289942593006787,,,,,,,,,,,,,,,,
cbpro_bitfinex_eth_usd_lr_bl,cbpro_bitfinex_eth_usd,lr_bl,{},0.8177287345109814,0.87,0.37,29.55641650092916,229,5004,5233,0.6876876876876877,0.8857404189152108,0.4714972203900876,0.5100222717149221,0.8944616862484298,0.4536718041704442,0.5856777493606138,0.8900796896973263,0.4624127893545257,0.21,0.12,0.67,,,,,,,,,,,,,,,,,,,,,,,,
bitfinex_hitbtc_ltc_usdt_rf,bitfinex_hitbtc_ltc_usdt,rf,{},0.9874660929754,0.54,0.45,0.014111204717775903,509,686,1195,1.0,0.9858887952822242,1.0,0.8015748031496063,1.0,0.9884726224783862,0.8898601398601398,0.9928942623820128,0.9942028985507246,0.09,0.08,0.84,,,,,,,,,0.0125339070246,0.0125339070246,0.0125339070246,0.0125339070246,0.0125339070246,0.0125339070246,0.0125339070246,0.0125339070246,,,,,,,,
bitfinex_hitbtc_ltc_usdt_rf_hyper_50_17_100,bitfinex_hitbtc_ltc_usdt,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,0.5,0.4,0.0,635,694,1329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,0.08,0.84,,,,,,,,,,,,,,,,,-0.012692999905275986,-0.012692999905275986,-0.012692999905275986,-0.012692999905275986,-0.012692999905275986,-0.012692999905275986,-0.012692999905275986,-0.012692999905275986
bitfinex_hitbtc_ltc_usdt_rf_bl,bitfinex_hitbtc_ltc_usdt,rf_bl,{},1.0,0.5,0.4,0.0,635,694,1329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,0.08,0.84,-0.14956989247311822,-0.14956989247311822,-0.14956989247311822,-0.14956989247311822,-0.14956989247311822,-0.14956989247311822,-0.14956989247311822,-0.14956989247311822,,,,,,,,,,,,,,,,
bitfinex_hitbtc_ltc_usdt_lr_bl,bitfinex_hitbtc_ltc_usdt,lr_bl,{},0.8698905621550838,0.07,-0.05,5.282327183138562,529,385,914,0.3524317121918721,0.9531711752671062,0.9821428571428572,0.8330708661417323,0.8957487716299936,0.5547550432276657,0.4953183520599251,0.923568281938326,0.7090239410681399,0.09,0.08,0.84,,,,,,,,,,,,,,,,,,,,,,,,
bitfinex_hitbtc_bch_usdt_rf,bitfinex_hitbtc_bch_usdt,rf,{},0.9886820690300252,0.95,0.6,0.016566894055408603,1142,2364,3506,0.9982517482517482,0.9834331059445914,1.0,0.9548494983277592,0.9997169544296632,0.9732400164676822,0.976068376068376,0.9915081760123516,0.9864385562278324,0.19,0.14,0.67,,,,,,,,,0.011225444340505212,0.011225444340505212,0.011225444340505212,0.011225444340505212,0.011225444340505212,0.011225444340505212,0.011225444340505212,0.011225444340505212,,,,,,,,
bitfinex_hitbtc_bch_usdt_rf_hyper_50_17_100,bitfinex_hitbtc_bch_usdt,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,0.93,0.59,0.0,1196,2429,3625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.14,0.67,,,,,,,,,,,,,,,,,-0.011447492904446601,-0.011447492904446601,-0.011447492904446601,-0.011447492904446601,-0.011447492904446601,-0.011447492904446601,-0.011447492904446601,-0.011447492904446601
bitfinex_hitbtc_bch_usdt_rf_bl,bitfinex_hitbtc_bch_usdt,rf_bl,{},0.9999064633804134,0.93,0.59,inf,1195,2429,3624,1.0,0.9998584972406962,1.0,0.9991638795986622,1.0,1.0,0.9995817649519028,0.9999292436142362,1.0,0.19,0.14,0.67,-0.06846576711644167,-0.06846576711644167,-0.06846576711644167,-0.06846576711644167,-0.06846576711644167,-0.06846576711644167,-0.06846576711644167,-0.06846576711644167,,,,,,,,,,,,,,,,
bitfinex_hitbtc_bch_usdt_lr_bl,bitfinex_hitbtc_bch_usdt,lr_bl,{},0.9358338789636144,0.91,0.58,4.231160841454764,1025,2172,3197,0.8738277919863597,0.9408512990602544,0.9517966695880806,0.8570234113712375,0.9634871214265496,0.8941951420337587,0.8653440270156183,0.9520346804642708,0.9220972192740396,0.19,0.14,0.67,,,,,,,,,,,,,,,,,,,,,,,,
bitfinex_cbpro_etc_usd_rf,bitfinex_cbpro_etc_usd,rf,{},0.9985943689568514,2.79,1.55,0.0014322295039277812,18,418,436,1.0,0.9985677704960724,1.0,0.6923076923076923,1.0,0.9435665914221218,0.8181818181818181,0.9992833720601968,0.9709639953542392,0.07,0.36,0.57,,,,,,,,,0.001405631043148614,0.001405631043148614,0.001405631043148614,0.001405631043148614,0.001405631043148614,0.001405631043148614,0.001405631043148614,0.001405631043148614,,,,,,,,
